test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::tsne__metric-correlation__perplexity-5::DSS	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	DSS	ok	389	7	2.0	chi_square	18.6775160371053	18.6775160371053	6.0	0.004744383529139548	0.18064985946208945		8.884318766066839	0.0	0.0	categorical	0.18064985946208945	cramers_v		0.015419246469703529	0.015262782757572332	0.015551034901068517	0.015338007025711413
categorical::tsne__metric-correlation__perplexity-5::DFI	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	DFI	ok	242	7	2.0	chi_square	14.502234466125888	14.502234466125888	6.0	0.024502365457429627	0.18755341325231958		2.309917355371901	2.0	0.14285714285714285	categorical	0.18755341325231958	cramers_v		0.04619559508077886	0.046542181622655276	0.0461199849558337	0.04638415706914485
categorical::tsne__metric-correlation__perplexity-5::PFI	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	PFI	ok	412	7	2.0	chi_square	16.998953787425258	16.998953787425258	6.0	0.009287090090688462	0.1634811407848821		12.912621359223301	0.0	0.0	categorical	0.1634811407848821	cramers_v		0.023189410927664175	0.023171749533202893	0.023202599672827524	0.023152323183828982
categorical::tsne__metric-correlation__perplexity-50::center_code	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	center_code	ok	412	3	2.0	chi_square	17.785775827987877	17.785775827987877	2.0	0.00013736239384592924	0.1959505068744313		54.429611650485434	0.0	0.0	categorical	0.1959505068744313	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-50::gender	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	gender	ok	412	3	2.0	chi_square	0.8705246211177486	0.8705246211177486	2.0	0.6470949049876416	0.0		41.03155339805825	0.0	0.0	categorical	0.0	cramers_v		0.6900660510219772	0.6929231560490893	0.6922200726994715	0.6962662503514441
categorical::tsne__metric-correlation__perplexity-50::race	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	race	ok	358	3	4.0	permutation_chi_square_5000	5.759345257853105	5.759345257853105	6.0	0.4539092181563687	0.0		0.2541899441340782	6.0	0.5	categorical	0.0	cramers_v		0.49899550291284017	0.5024236733912368	0.4980663380914661	0.5021370725854829
categorical::tsne__metric-correlation__perplexity-50::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	ajcc_pathologic_tumor_stage	ok	388	3	11.0	permutation_chi_square_5000	24.267206795289667	24.267206795289667	20.0	0.21975604879024196	0.07389587662150848		0.5618556701030928	8.0	0.24242424242424243	categorical	0.07389587662150848	cramers_v		0.258964322243465	0.26040058445991054	0.25654929896821244	0.258022027435309
categorical::tsne__metric-correlation__perplexity-50::histological_type	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	histological_type	ok	410	3	7.0	permutation_chi_square_5000	82.93472182047832	82.93472182047832	12.0	0.0001999600079984003	0.29477939532063985		1.9634146341463414	6.0	0.2857142857142857	categorical	0.29477939532063985	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-50::histological_grade	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	histological_grade	ok	412	3	4.0	permutation_chi_square_5000	49.84521854742323	49.84521854742323	6.0	0.0001999600079984003	0.23119820508240255		2.512135922330097	6.0	0.5	categorical	0.23119820508240255	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-50::tumor_status	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	tumor_status	ok	369	3	2.0	chi_square	2.686369578926884	2.686369578926884	2.0	0.26101307178048544	0.04301604302986587		34.60162601626016	0.0	0.0	categorical	0.04301604302986587	cramers_v		0.3006606269876478	0.303111954325725	0.29880153142631694	0.30146371096343183
categorical::tsne__metric-correlation__perplexity-50::vital_status	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	vital_status	ok	411	3	2.0	chi_square	7.019862899656378	7.019862899656378	2.0	0.029898963945793885	0.11059721123370382		44.48905109489051	0.0	0.0	categorical	0.11059721123370382	cramers_v		0.0523231869051393	0.0528121886519163	0.05211933033278161	0.052527212093355015
categorical::tsne__metric-correlation__perplexity-50::OS	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	OS	ok	412	3	2.0	chi_square	7.008776288433731	7.008776288433731	2.0	0.030065163261623246	0.11034054487215698		44.38106796116505	0.0	0.0	categorical	0.11034054487215698	cramers_v		0.052501852262834624	0.05298196602747593	0.05229020458427444	0.05268845442878529
categorical::tsne__metric-correlation__perplexity-50::DSS	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	DSS	ok	389	3	2.0	chi_square	7.7117662008397065	7.7117662008397065	2.0	0.0211549131460041	0.12127596404459187		26.40616966580977	0.0	0.0	categorical	0.12127596404459187	cramers_v		0.041024746165355876	0.04132587684335685	0.04093617168640944	0.04114746842684314
categorical::tsne__metric-correlation__perplexity-50::DFI	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	DFI	ok	242	3	2.0	chi_square	3.305589654023964	3.305589654023964	2.0	0.19151391170671087	0.0733692201767795		12.260330578512397	0.0	0.0	categorical	0.0733692201767795	cramers_v		0.22964845342283485	0.23128517132631535	0.22773824849464686	0.22942783331362318
categorical::tsne__metric-correlation__perplexity-50::PFI	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	PFI	ok	412	3	2.0	chi_square	8.243572906473009	8.243572906473009	2.0	0.016215520282615536	0.12320480900467258		37.12378640776699	0.0	0.0	categorical	0.12320480900467258	cramers_v		0.03425314971978262	0.034363858025276424	0.034382316205615354	0.03439815329276672
categorical::tsne__metric-cosine__perplexity-15::center_code	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	center_code	ok	412	2	2.0	fisher_exact	0.6837363679468943	3.6802563931897647	1.0	0.060904799265796394	0.08071817476061983	0.6837363679468943	93.7135922330097	0.0	0.0	categorical	0.08071817476061983	cramers_v		0.08762984245256213	0.08883772378472282	0.0869472945559587	0.08812115127994809
categorical::tsne__metric-cosine__perplexity-15::gender	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	gender	ok	412	2	2.0	fisher_exact	1.0277372262773723	0.01766112307463035	1.0	0.9182733776086571	0.0	1.0277372262773723	70.64563106796116	0.0	0.0	categorical	0.0	cramers_v		0.9319490687652432	0.93310533311855	0.9328895408623888	0.9341267948953629
categorical::tsne__metric-cosine__perplexity-15::race	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	race	ok	358	2	4.0	permutation_chi_square_5000	5.445161054383314	5.445161054383314	3.0	0.10597880423915217	0.08261782711736974		0.49441340782122906	2.0	0.25	categorical	0.08261782711736974	cramers_v		0.13777244551089782	0.13909718056388723	0.13615702320172482	0.13742306483758193
categorical::tsne__metric-cosine__perplexity-15::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	ajcc_pathologic_tumor_stage	ok	388	2	11.0	permutation_chi_square_5000	20.28424424100535	20.28424424100535	10.0	0.021995600879824034	0.1628117993983336		0.9432989690721649	4.0	0.18181818181818182	categorical	0.1628117993983336	cramers_v		0.04235134222223114	0.04270218174359874	0.04234628775961958	0.04261328831295893
categorical::tsne__metric-cosine__perplexity-15::histological_type	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	histological_type	ok	410	2	7.0	chi_square	30.633074073317097	30.633074073317097	6.0	2.9782880087067744e-05	0.2453406957806584		3.3634146341463413	2.0	0.14285714285714285	categorical	0.2453406957806584	cramers_v		0.000739156933069954	0.0006822987074491883	0.000713858407086905	0.0006589462219263739
categorical::tsne__metric-cosine__perplexity-15::histological_grade	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	histological_grade	ok	412	2	4.0	permutation_chi_square_5000	15.928188454668213	15.928188454668213	3.0	0.0005998800239952009	0.1773072832413748		4.325242718446602	2.0	0.25	categorical	0.1773072832413748	cramers_v		0.003593424867337637	0.0034426517959808135	0.0036302528687276745	0.0034320752927673548
categorical::tsne__metric-cosine__perplexity-15::tumor_status	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	tumor_status	ok	369	2	2.0	fisher_exact	1.6412466843501325	5.171648755695845	1.0	0.029863463076278206	0.10643637297274618	1.6412466843501325	64.51761517615176	0.0	0.0	categorical	0.10643637297274618	cramers_v		0.0523231869051393	0.0528121886519163	0.05211933033278161	0.052527212093355015
categorical::tsne__metric-cosine__perplexity-15::vital_status	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	vital_status	ok	411	2	2.0	fisher_exact	1.6680209698558321	6.318713005432384	1.0	0.014901021799426147	0.11387097541166301	1.6680209698558321	76.5985401459854	0.0	0.0	categorical	0.11387097541166301	cramers_v		0.03211562329928951	0.032278431175834295	0.03219460202861931	0.0322627627950878
categorical::tsne__metric-cosine__perplexity-15::OS	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	OS	ok	412	2	2.0	fisher_exact	1.6796854521625164	6.500782438965965	1.0	0.011526371536151072	0.11566355583469115	1.6796854521625164	76.4126213592233	0.0	0.0	categorical	0.11566355583469115	cramers_v		0.02681846104576059	0.026894866917685837	0.026953435878743517	0.02693290774783815
