test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	test	statistic	p_value	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
continuous::umap__metric-euclidean__nn-15__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p5	metric=euclidean, n_neighbors=15, min_dist=0.5	False	5	euclidean		15.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	5	kruskal_wallis	17.190132538152557	0.0017752442977065934	0.03281127497052875	0.008308143313266857	0.009320032562959615	0.008252196220248226	0.0104739413564689
continuous::umap__metric-euclidean__nn-15__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-15__mindist-1	metric=euclidean, n_neighbors=15, min_dist=1	False	3	euclidean		15.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	9.993980655012454	0.006758256560066088	0.019787080829238746	0.018949189791954753	0.01966546441275651	0.018907627355470233	0.020091123815630028
continuous::umap__metric-euclidean__nn-30__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-30__mindist-0	metric=euclidean, n_neighbors=30, min_dist=0	False	4	euclidean		30.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	4	kruskal_wallis	10.047963613292515	0.01816279636012308	0.017488743457301524	0.03728152937077895	0.035580857167120825	0.03734816302470349	0.03665393063724034
continuous::umap__metric-euclidean__nn-30__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-30__mindist-0p1	metric=euclidean, n_neighbors=30, min_dist=0.1	False	5	euclidean		30.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	5	kruskal_wallis	18.91658566345112	0.000816162079722583	0.03710593448619681	0.004486152639548963	0.005713134558058081	0.004503570612569936	0.006879080386233199
continuous::umap__metric-euclidean__nn-30__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-30__mindist-0p5	metric=euclidean, n_neighbors=30, min_dist=0.5	False	5	euclidean		30.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	5	kruskal_wallis	19.206385819634654	0.0007158515562659779	0.03782683039710113	0.004099877094977874	0.005713134558058081	0.004128256719218083	0.006879080386233199
continuous::umap__metric-euclidean__nn-30__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-30__mindist-1	metric=euclidean, n_neighbors=30, min_dist=1	False	2	euclidean		30.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.854703059603878	0.008840824809587828	0.014456056937293526	0.022388962415752382	0.022278878520161326	0.022415849745303463	0.022678637555029645
continuous::umap__metric-euclidean__nn-50__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-50__mindist-0	metric=euclidean, n_neighbors=50, min_dist=0	False	6	euclidean		50.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	6	kruskal_wallis	25.32109759300117	0.00012078482875516984	0.050676053847883214	0.0014753805995557645	0.0046005028036909005	0.0014890225838327478	0.006879080386233199
continuous::umap__metric-euclidean__nn-50__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-50__mindist-0p1	metric=euclidean, n_neighbors=50, min_dist=0.1	False	5	euclidean		50.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	5	kruskal_wallis	18.396872407992603	0.0010320565583792148	0.03581311544276767	0.005418296931490878	0.006501956317789053	0.0054218313717593	0.007611417118046709
continuous::umap__metric-euclidean__nn-50__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-50__mindist-0p5	metric=euclidean, n_neighbors=50, min_dist=0.5	False	2	euclidean		50.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	8.27511494319608	0.004019211810881221	0.017963246773323654	0.014188510659964309	0.015825646505344806	0.014405305882924749	0.016938106917285145
continuous::umap__metric-euclidean__nn-50__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-50__mindist-1	metric=euclidean, n_neighbors=50, min_dist=1	False	2	euclidean		50.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.590089790361172	0.010254799914577228	0.013802690840397955	0.024557547163855994	0.023927866467346865	0.02465652518645998	0.02420132779840226
continuous::umap__metric-euclidean__nn-5__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-5__mindist-0	metric=euclidean, n_neighbors=5, min_dist=0	False	9	euclidean		5.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	9	kruskal_wallis	20.947116644859115	0.007289243894169741	0.03253044383130431	0.019767850163327872	0.01966546441275651	0.019755653946389368	0.020091123815630028
continuous::umap__metric-euclidean__nn-5__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-5__mindist-0p1	metric=euclidean, n_neighbors=5, min_dist=0.1	False	9	euclidean		5.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	9	kruskal_wallis	23.87593913613672	0.0024041479382383418	0.0398892943119013	0.010219351341910512	0.01165087077761658	0.010257887876831337	0.01289497530509656
continuous::umap__metric-euclidean__nn-5__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-5__mindist-0p5	metric=euclidean, n_neighbors=5, min_dist=0.5	False	6	euclidean		5.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	6	kruskal_wallis	19.563644896715804	0.0015085915924610896	0.03631831645066285	0.007533759233083125	0.008640115484095332	0.007513569814400362	0.009889655995022699
continuous::umap__metric-euclidean__nn-5__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-5__mindist-1	metric=euclidean, n_neighbors=5, min_dist=1	False	6	euclidean		5.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	6	kruskal_wallis	21.08872057655213	0.000779382279403603	0.040121497697137486	0.0044165046538453346	0.005713134558058081	0.004442468819946718	0.006879080386233199
