gene_column	gene_symbol	entrez_id	annotated	complete_in_primary_tumors	total_expression	passes_total_expression	log2_variance	retained_for_expression	retained_for_dimred
KIAA1586|57691	KIAA1586	57691	True	True	49628.18650218756	True	1.037030264528007	True	True
KIAA1598|57698	KIAA1598	57698	True	True	434698.7173450949	True	0.5386075803324019	True	False
KIAA1609|57707	KIAA1609	57707	True	True	150670.30403015777	True	0.3784175169478422	True	False
KIAA1614|57710	KIAA1614	57710	True	True	16507.284268709092	True	1.3801415099389467	True	True
KIAA1632|57724	KIAA1632	57724	True	True	303177.0140408053	True	0.3812741874646134	True	False
KIAA1644|85352	KIAA1644	85352	True	True	81225.17935793825	True	3.871616305143467	True	True
KIAA1671|85379	KIAA1671	85379	True	True	744680.2489219371	True	0.37185684965968663	True	False
KIAA1683|80726	KIAA1683	80726	True	True	25653.49965661275	True	1.7341052590647457	True	True
KIAA1704|55425	KIAA1704	55425	True	True	171039.56267417307	True	0.2771010954990873	True	False
KIAA1712|80817	KIAA1712	80817	True	True	127526.54050750898	True	0.38964336193802995	True	False
KIAA1715|80856	KIAA1715	80856	True	True	265313.00607684127	True	0.21181346076073868	True	False
KIAA1731|85459	KIAA1731	85459	True	True	220165.592582546	True	0.4581152799625879	True	False
KIAA1737|85457	KIAA1737	85457	True	True	266559.26557131106	True	0.2679679700627459	True	False
KIAA1751|85452	KIAA1751	85452	True	False		False		False	False
KIAA1755|85449	KIAA1755	85449	True	True	59877.035583155695	True	1.9677352234816459	True	True
KIAA1797|54914	KIAA1797	54914	True	True	285453.70218575175	True	0.6328558590801161	True	False
KIAA1804|84451	KIAA1804	84451	True	True	268307.1667613455	True	0.9394119036038776	True	True
KIAA1826|84437	KIAA1826	84437	True	True	142714.4271268734	True	0.5950823096101981	True	False
KIAA1841|84542	KIAA1841	84542	True	True	105010.6421770755	True	0.46978654735035197	True	False
KIAA1875|340390	KIAA1875	340390	True	True	8925.023336890197	True	2.061218183552896	True	True
KIAA1908|114796	KIAA1908	114796	True	True	34285.94474102149	True	0.9447383787218666	True	True
KIAA1919|91749	KIAA1919	91749	True	True	59564.484071608924	True	0.41372312310467424	True	False
KIAA1949|170954	KIAA1949	170954	True	True	589760.0554251691	True	0.7054785324864659	True	True
KIAA1958|158405	KIAA1958	158405	True	True	31045.536720891723	True	0.8185726728905576	True	True
KIAA1967|57805	KIAA1967	57805	True	True	955913.7512484265	True	0.26477615599015875	True	False
KIAA1984|84960	KIAA1984	84960	True	True	7752.718884091571	True	2.6394074296971097	True	True
KIAA2013|90231	KIAA2013	90231	True	True	664928.3664991137	True	0.24241687305137596	True	False
KIAA2018|205717	KIAA2018	205717	True	True	265654.9338293332	True	0.34061563607005524	True	False
KIAA2022|340533	KIAA2022	340533	True	True	13015.870073316037	True	4.294948996550563	True	True
KIAA2026|158358	KIAA2026	158358	True	True	335819.9188041135	True	0.4398058475046435	True	False
