method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p5	metric=euclidean, n_neighbors=15, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		15.0	0.5		5	0.3865785228950319	395.52001775433854	0.810574417704194	675.1482061037193	69	93	0.7419354838709677
UMAP	umap	umap__metric-euclidean__nn-15__mindist-1	metric=euclidean, n_neighbors=15, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		15.0	1.0		3	0.382166018638053	341.3311272983809	0.881594320542925	2095.9729858604064	123	160	0.76875
UMAP	umap	umap__metric-euclidean__nn-30__mindist-0	metric=euclidean, n_neighbors=30, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		30.0	0.0		4	0.4314497423798119	455.7086712348621	0.7584061725679224	328.0176665933159	83	116	0.7155172413793104
UMAP	umap	umap__metric-euclidean__nn-30__mindist-0p1	metric=euclidean, n_neighbors=30, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		30.0	0.1		5	0.42966673093889457	475.6137722866258	0.766351374986318	293.53799064908253	75	93	0.8064516129032258
UMAP	umap	umap__metric-euclidean__nn-30__mindist-0p5	metric=euclidean, n_neighbors=30, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		30.0	0.5		5	0.3973767461620564	422.55528210595605	0.7913215938755719	563.1189722181741	76	93	0.8172043010752689
UMAP	umap	umap__metric-euclidean__nn-30__mindist-1	metric=euclidean, n_neighbors=30, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		30.0	1.0		2	0.39016288186006	352.307291682571	0.994959420043502	2663.406087683164	194	218	0.8899082568807339
UMAP	umap	umap__metric-euclidean__nn-50__mindist-0	metric=euclidean, n_neighbors=50, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		50.0	0.0		6	0.43180389189327056	519.5235786771107	0.7761314056619231	179.6856832530657	50	78	0.6410256410256411
UMAP	umap	umap__metric-euclidean__nn-50__mindist-0p1	metric=euclidean, n_neighbors=50, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		50.0	0.1		5	0.4214585845210684	479.59995585783065	0.7673214114671707	269.478304615116	74	89	0.8314606741573034
UMAP	umap	umap__metric-euclidean__nn-50__mindist-0p5	metric=euclidean, n_neighbors=50, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		50.0	0.5		2	0.39497987594939216	359.6974262921499	0.9867895068801128	1410.6461301301395	197	215	0.9162790697674419
UMAP	umap	umap__metric-euclidean__nn-50__mindist-1	metric=euclidean, n_neighbors=50, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		50.0	1.0		2	0.38458260503479924	340.5034464796215	1.0109981801536703	2462.594960961693	200	212	0.9433962264150944
UMAP	umap	umap__metric-euclidean__nn-5__mindist-0	metric=euclidean, n_neighbors=5, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		5.0	0.0		9	0.5098130474308911	629.8855598250202	0.6834378153956983	222.41419439573951	23	59	0.3898305084745763
UMAP	umap	umap__metric-euclidean__nn-5__mindist-0p1	metric=euclidean, n_neighbors=5, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		5.0	0.1		9	0.46377104594338586	510.6752296305556	0.6955863058978297	292.2415143971597	5	59	0.0847457627118644
UMAP	umap	umap__metric-euclidean__nn-5__mindist-0p5	metric=euclidean, n_neighbors=5, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		5.0	0.5		6	0.4038283459620581	391.4726521861437	0.7708813044523307	821.7394422103098	57	93	0.6129032258064516
UMAP	umap	umap__metric-euclidean__nn-5__mindist-1	metric=euclidean, n_neighbors=5, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	euclidean		5.0	1.0		6	0.3773542755885128	348.99986491730454	0.8031650364893164	1460.7602365256303	53	84	0.6309523809523809
