test_id	method	method_key	k	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	q_value_family	q_value
categorical::umap::gender	UMAP	umap	9	gender	ok	412	9	2	chi_square	10.307057808331079	10.307057808331079	8	0.24413243140560584	0.07460531396963711		6.779126213592233	0	0.0	0.3175148754032977	0.31817636472705463
categorical::umap::race	UMAP	umap	9	race	ok	358	9	4	permutation_chi_square_5000	30.98198362989586	30.98198362989586	24	0.14537092581483704	0.08057842781054421		0.05307262569832402	19	0.5277777777777778	0.2114486193670357	0.20998022617698686
categorical::umap::ajcc_pathologic_tumor_stage	UMAP	umap	9	ajcc_pathologic_tumor_stage	ok	388	9	11	permutation_chi_square_5000	109.99309438623692	109.99309438623692	80	0.015996800639872025	0.09898829757727169		0.0979381443298969	65	0.6565656565656566	0.03338462742234162	0.03199360127974405
categorical::umap::histological_type	UMAP	umap	9	histological_type	ok	410	9	7	permutation_chi_square_5000	141.657748264235	141.657748264235	48	0.0001999600079984003	0.19644508296423105		0.32439024390243903	32	0.5079365079365079	0.0013057362314934755	0.0012573756303270506
categorical::umap::histological_grade	UMAP	umap	9	histological_grade	ok	412	9	4	permutation_chi_square_5000	102.38305345582044	102.38305345582044	24	0.0001999600079984003	0.25265671849577437		0.41504854368932037	18	0.5	0.0013057362314934755	0.0012573756303270506
categorical::umap::tumor_status	UMAP	umap	9	tumor_status	ok	369	9	2	chi_square	23.02684070355185	23.02684070355185	8	0.0033299563196059617	0.20192828832850432		6.127371273712737	0	0.0	0.009989868958817885	0.009619873812195
categorical::umap::vital_status	UMAP	umap	9	vital_status	ok	411	9	2	chi_square	15.2489678803987	15.2489678803987	8	0.05448143165078242	0.13278901927500814		7.350364963503649	0	0.0	0.09017616273232952	0.08853232643252143
categorical::umap::OS	UMAP	umap	9	OS	ok	412	9	2	chi_square	15.554265392978298	15.554265392978298	8	0.049222855480692405	0.13539924993159788		7.33252427184466	0	0.0	0.08438203796690126	0.08256737048374209
categorical::umap::DSS	UMAP	umap	9	DSS	ok	389	9	2	chi_square	19.531981515057137	19.531981515057137	8	0.012259440150163213	0.1722459239262335		4.442159383033419	1	0.05555555555555555	0.02674786941853792	0.025499635512339483
categorical::umap::DFI	UMAP	umap	9	DFI	ok	242	9	2	permutation_chi_square_5000	19.74403754302827	19.74403754302827	8	0.009998000399920015	0.22043943434112356		2.309917355371901	5	0.2777777777777778	0.02285257234267432	0.02260417481721047
categorical::umap::PFI	UMAP	umap	9	PFI	ok	412	9	2	chi_square	23.83533172474584	23.83533172474584	8	0.002442072943235195	0.1961674184045733		6.133495145631068	0	0.0	0.009436430208387633	0.00885975947343061
